Product Description,Brand Name,Liquer Volume,PACK SIZE,Category,Flavor,split_text
Pacific Rim Dry Riesling,,,,,,"['Pacific', 'Rim', 'Dry', 'Riesling']"
Pacific Rim Medium Sweet Riesling,,,,,,"['Pacific', 'Rim', 'Medium', 'Sweet', 'Riesling']"
Pacific Rim Sweet Riesling,,,,,,"['Pacific', 'Rim', 'Sweet', 'Riesling']"
PALLADIO ROSSO 19,,,,,,"['PALLADIO', 'ROSSO', '19']"
PALLINI LIMONCELLO 750,,,,,,"['PALLINI', 'LIMONCELLO', '750']"
Palmetto Amber,,,,,,"['Palmetto', 'Amber']"
Palmetto Huger Street IPA,,,,,,"['Palmetto', 'Huger', 'Street', 'IPA']"
Palmetto Lowcountry Pilsner,,,,,,"['Palmetto', 'Lowcountry', 'Pilsner']"
PALMETTO TALL SKINNY HOUSE PILSNER 1/2 BBL,,,,,,"['PALMETTO', 'TALL', 'SKINNY', 'HOUSE', 'PILSNER', '1/2', 'BBL']"
Pama Pomegranate Liqueur,,,,,,"['Pama', 'Pomegranate', 'Liqueur']"
PANTHERA CHARD,,,,,,"['PANTHERA', 'CHARD']"
Papas Pilar Blonde Rum,,,,,,"['Papas', 'Pilar', 'Blonde', 'Rum']"
Papas Pilar Dark Rum,,,,,,"['Papas', 'Pilar', 'Dark', 'Rum']"
PAPAS PILAR RUM DARK 24 SOLERA 86 750ML,,,,,,"['PAPAS', 'PILAR', 'RUM', 'DARK', '24', 'SOLERA', '86', '750ML']"
PAPAS PILAR RUM DARK 86 750ML,,,,,,"['PAPAS', 'PILAR', 'RUM', 'DARK', '86', '750ML']"
Pappy Van Winkle's 10Yr Kentucky Straight Bourbon Whiskey 107Pf 3/750ml,,,,,,"['Pappy', 'Van', ""Winkle's"", '10Yr', 'Kentucky', 'Straight', 'Bourbon', 'Whiskey', '107Pf', '3/750ml']"
Pappy Van Winkle's 12Yr Special Reserve Kentucky Straight Bourbon Whiskey 90.4Pf,,,,,,"['Pappy', 'Van', ""Winkle's"", '12Yr', 'Special', 'Reserve', 'Kentucky', 'Straight', 'Bourbon', 'Whiskey', '90.4Pf']"
PAR GHOST IN THE MACHINE 6/4/12 OZ,,,,,,"['PAR', 'GHOST', 'IN', 'THE', 'MACHINE', '6/4/12', 'OZ']"
Paradigm Cabernet Sauvignon Estate 2018  Oakville - 12/750,,,,,,"['Paradigm', 'Cabernet', 'Sauvignon', 'Estate', '2018', 'Oakville', '-', '12/750']"
PARAMOUNT BUTTERSCOTCH,,,,,,"['PARAMOUNT', 'BUTTERSCOTCH']"
Parish Dr Juice,,,,,,"['Parish', 'Dr', 'Juice']"
PARROT BAY COCONUT 90,,,,,,"['PARROT', 'BAY', 'COCONUT', '90']"
PARROT BAY RUM COCO 42 1L,,,,,,"['PARROT', 'BAY', 'RUM', 'COCO', '42', '1L']"
PARROT BAY RUM STRWB PET FL 750ML,,,,,,"['PARROT', 'BAY', 'RUM', 'STRWB', 'PET', 'FL', '750ML']"
PAT O BRIENS SWEET & SOUR,,,,,,"['PAT', 'O', 'BRIENS', 'SWEET', '&', 'SOUR']"
Pat OBriens Grenadine,,,,,,"['Pat', 'OBriens', 'Grenadine']"
PAWLEYS ISLE CRANB SAUCED KEG 5.17G,,,,,,"['PAWLEYS', 'ISLE', 'CRANB', 'SAUCED', 'KEG', '5.17G']"
PAWLEYS ISLE PALE ALE CAN 6/4PK 16Z,,,,,,"['PAWLEYS', 'ISLE', 'PALE', 'ALE', 'CAN', '6/4PK', '16Z']"
Peach,,,,,,['Peach']
PEACH LIFE MILKSHAKE IPA CASE -6X4 - 16OZ - CAN,,,,,,"['PEACH', 'LIFE', 'MILKSHAKE', 'IPA', 'CASE', '-6X4', '-', '16OZ', '-', 'CAN']"
PEACH PUREE,,,,,,"['PEACH', 'PUREE']"
Peachtree,,,,,,['Peachtree']
PEARL LIT,,,,,,"['PEARL', 'LIT']"
PEARL VANILLA,,,,,,"['PEARL', 'VANILLA']"
PEARL VODKA VAN BEAN 1L,,,,,,"['PEARL', 'VODKA', 'VAN', 'BEAN', '1L']"
PELLEGRINO LIMONCELLO 750M,,,,,,"['PELLEGRINO', 'LIMONCELLO', '750M']"
PELOTON DE LA MUERTE MEZCAL,,,,,,"['PELOTON', 'DE', 'LA', 'MUERTE', 'MEZCAL']"
PELOTON DE LA MUERTE MEZCAL CENIZO DURAN,,,,,,"['PELOTON', 'DE', 'LA', 'MUERTE', 'MEZCAL', 'CENIZO', 'DURAN']"
PENDLETON CANADIAN WHSKY 80 6PK,,,,,,"['PENDLETON', 'CANADIAN', 'WHSKY', '80', '6PK']"
Pendulum Cabernet Sauvignon,,,,,,"['Pendulum', 'Cabernet', 'Sauvignon']"
Peppered Vodka (Single - 750ml - Bottle),,,,,,"['Peppered', 'Vodka', '(Single', '-', '750ml', '-', 'Bottle)']"
PER BEACH HDFT 15.5 GAL,,,,,,"['PER', 'BEACH', 'HDFT', '15.5', 'GAL']"
PER DAYTONA DF 5.167 GAL,,,,,,"['PER', 'DAYTONA', 'DF', '5.167', 'GAL']"
PERONI SLIM 1/4 BBL,,,,,,"['PERONI', 'SLIM', '1/4', 'BBL']"
Pesquie-Le Paradou Provence Rose,,,,,,"['Pesquie-Le', 'Paradou', 'Provence', 'Rose']"
PETER WEINBACH RIESLING,,,,,,"['PETER', 'WEINBACH', 'RIESLING']"
PETRUS SOUR BLACKBERRY 30LT,,,,,,"['PETRUS', 'SOUR', 'BLACKBERRY', '30LT']"
Pewsey Vale Vineyard Riesling Eden Valley,,,,,,"['Pewsey', 'Vale', 'Vineyard', 'Riesling', 'Eden', 'Valley']"
PHP ELECTRIC JELLYFISH 1/6 BBL,,,,,,"['PHP', 'ELECTRIC', 'JELLYFISH', '1/6', 'BBL']"
PHP ELECTRIC JELLYFISH 50L,,,,,,"['PHP', 'ELECTRIC', 'JELLYFISH', '50L']"
Pickers Blueberry Vodka,,,,,,"['Pickers', 'Blueberry', 'Vodka']"
Pickers Original Vodka,,,,,,"['Pickers', 'Original', 'Vodka']"
Pickett's HOT N' SPICY (RED) Ginger Beer 6 X 4 PACKS Cans,,,,,,"[""Pickett's"", 'HOT', ""N'"", 'SPICY', '(RED)', 'Ginger', 'Beer', '6', 'X', '4', 'PACKS', 'Cans']"
Pickett's MEDIUM Spicy+ (GREEN) Ginger Beer 6 X 4 PACKS Cans,,,,,,"[""Pickett's"", 'MEDIUM', 'Spicy+', '(GREEN)', 'Ginger', 'Beer', '6', 'X', '4', 'PACKS', 'Cans']"
PIERDE ALMAS MEZCAL ESPADIN 98 750ML,,,,,,"['PIERDE', 'ALMAS', 'MEZCAL', 'ESPADIN', '98', '750ML']"
PIERDE ALMAS MEZCAL PURITITA VER80 750ML,,,,,,"['PIERDE', 'ALMAS', 'MEZCAL', 'PURITITA', 'VER80', '750ML']"
Pierre Riffault 7 Hommes Sancerre White 2020 750ml bottles,,,,,,"['Pierre', 'Riffault', '7', 'Hommes', 'Sancerre', 'White', '2020', '750ml', 'bottles']"
Pike Street IPA 1/6 Barrel,,,,,,"['Pike', 'Street', 'IPA', '1/6', 'Barrel']"
Pinhook Pinhook 2021 High Proof Rye 122 PF,,,,,,"['Pinhook', 'Pinhook', '2021', 'High', 'Proof', 'Rye', '122', 'PF']"
Pinhook Pinhook 2022 Flagship Rye Green Wax 99 PF,,,,,,"['Pinhook', 'Pinhook', '2022', 'Flagship', 'Rye', 'Green', 'Wax', '99', 'PF']"
Pinhook Pinhook 2022 High Proof Bourbon Magenta Wax,,,,,,"['Pinhook', 'Pinhook', '2022', 'High', 'Proof', 'Bourbon', 'Magenta', 'Wax']"
PINTHOUSE PIZZA 50 EMPTY 50L KEG,,,,,,"['PINTHOUSE', 'PIZZA', '50', 'EMPTY', '50L', 'KEG']"
Piper Sonoma Sonoma County Brut 12/750ml New Label,,,,,,"['Piper', 'Sonoma', 'Sonoma', 'County', 'Brut', '12/750ml', 'New', 'Label']"
Pipers Scotch,,,,,,"['Pipers', 'Scotch']"
PIRAAT PALE ALE 30LT,,,,,,"['PIRAAT', 'PALE', 'ALE', '30LT']"
PIRAAT TRIPLE HOP 50LT,,,,,,"['PIRAAT', 'TRIPLE', 'HOP', '50LT']"
PIRASSUNUNGA CACHACA 51,,,,,,"['PIRASSUNUNGA', 'CACHACA', '51']"
Pisgah:(1) PS_1/6 bbl_Blueberry Wheat,,,,,,"['Pisgah:(1)', 'PS_1/6', 'bbl_Blueberry', 'Wheat']"
Pisgah:(1) PS_1/6 bbl_Cherry Wheat,,,,,,"['Pisgah:(1)', 'PS_1/6', 'bbl_Cherry', 'Wheat']"
Pisgah:(1) PS_1/6 bbl_GreyBeard IPA,,,,,,"['Pisgah:(1)', 'PS_1/6', 'bbl_GreyBeard', 'IPA']"
Pisgah:(1) PS_1/6 bbl_Nitro Peanut Butter Cup Stout,,,,,,"['Pisgah:(1)', 'PS_1/6', 'bbl_Nitro', 'Peanut', 'Butter', 'Cup', 'Stout']"
PITCH SIDE PILS KEG - 1/6 BBL,,,,,,"['PITCH', 'SIDE', 'PILS', 'KEG', '-', '1/6', 'BBL']"
Placido Chianti DOCG Red Blend 12/750ml,,,,,,"['Placido', 'Chianti', 'DOCG', 'Red', 'Blend', '12/750ml']"
PLANKOWNER SEASIDE LAGER 20LT,,,,,,"['PLANKOWNER', 'SEASIDE', 'LAGER', '20LT']"
PLANKOWNER SPARTOBERFEST 20LT,,,,,,"['PLANKOWNER', 'SPARTOBERFEST', '20LT']"
PLANTATION ORIGINAL DARK,,,,,,"['PLANTATION', 'ORIGINAL', 'DARK']"
PLANTATION ORIGINAL DARK RUM,,,,,,"['PLANTATION', 'ORIGINAL', 'DARK', 'RUM']"
PLANTATION PINEAPPLE RUM,,,,,,"['PLANTATION', 'PINEAPPLE', 'RUM']"
PLANTATION RUM BARBADOS 20TH AN80 750ML,,,,,,"['PLANTATION', 'RUM', 'BARBADOS', '20TH', 'AN80', '750ML']"
POGGIO COSTA PROSECCO NV 12/750ML,,,,,,"['POGGIO', 'COSTA', 'PROSECCO', 'NV', '12/750ML']"
POLAR PITCHERSBUD 6-60OZ,,,,,,"['POLAR', 'PITCHERSBUD', '6-60OZ']"
PONYSAURUS BIERE GAR 5.17,,,,,,"['PONYSAURUS', 'BIERE', 'GAR', '5.17']"
PONYSAURUS INDIA PALE LAGER 5.17,,,,,,"['PONYSAURUS', 'INDIA', 'PALE', 'LAGER', '5.17']"
Ponzi Tavola Willamette Valley Pinot Noir 2019 12/750ml,,,,,,"['Ponzi', 'Tavola', 'Willamette', 'Valley', 'Pinot', 'Noir', '2019', '12/750ml']"
Ponzi Willamette Valley Pinot Gris 2020 12/750ml,,,,,,"['Ponzi', 'Willamette', 'Valley', 'Pinot', 'Gris', '2020', '12/750ml']"
POTTERS PASSIONFRUIT MOSAIC 5.17,,,,,,"['POTTERS', 'PASSIONFRUIT', 'MOSAIC', '5.17']"
poundsign nofilter (Keg - 1/6 bbl),,,,,,"['poundsign', 'nofilter', '(Keg', '-', '1/6', 'bbl)']"
POWELL-MAHONEY PEACH BELLINI MIX 750ML,,,,,,"['POWELL-MAHONEY', 'PEACH', 'BELLINI', 'MIX', '750ML']"
POWELL-MAHONEY SIMPLE SYRUP MIX 375ML,,,,,,"['POWELL-MAHONEY', 'SIMPLE', 'SYRUP', 'MIX', '375ML']"
PRAIRIE CLEVELAND COWBOY SOUR 5.17,,,,,,"['PRAIRIE', 'CLEVELAND', 'COWBOY', 'SOUR', '5.17']"
Preacher Peach Fruit Beer (keg - 1/6 BBL),,,,,,"['Preacher', 'Peach', 'Fruit', 'Beer', '(keg', '-', '1/6', 'BBL)']"
Precipitation Pilsner (Case - 6x4 - 16oz - Can),,,,,,"['Precipitation', 'Pilsner', '(Case', '-', '6x4', '-', '16oz', '-', 'Can)']"
Presidente,,,,,,['Presidente']
Primo Amore Moscato,,,,,,"['Primo', 'Amore', 'Moscato']"
PRINCIPE DE VIANA CHARDONNAY,,,,,,"['PRINCIPE', 'DE', 'VIANA', 'CHARDONNAY']"
Probitas Rum 6/750ml,,,,,,"['Probitas', 'Rum', '6/750ml']"
Proper No Twelve Whiskey,,,,,,"['Proper', 'No', 'Twelve', 'Whiskey']"
prosecco 84,,,,,,"['prosecco', '84']"
Pucker Strawberry,,,,,,"['Pucker', 'Strawberry']"
PULPOLOCO SANGRIA 12/250 ML CARTON CAN,,,,,,"['PULPOLOCO', 'SANGRIA', '12/250', 'ML', 'CARTON', 'CAN']"
PURPLE COWBOY TENACIOUS RED +14 NEW UPC,,,,,,"['PURPLE', 'COWBOY', 'TENACIOUS', 'RED', '+14', 'NEW', 'UPC']"
PURPLE HANDS WINE COMPANY PURPLE HANDS 20 PINOT LONE OAK WILLAMETTE,,,,,,"['PURPLE', 'HANDS', 'WINE', 'COMPANY', 'PURPLE', 'HANDS', '20', 'PINOT', 'LONE', 'OAK', 'WILLAMETTE']"
PUSSER'S BRITISH NAVY,,,,,,"[""PUSSER'S"", 'BRITISH', 'NAVY']"
Pyramid Haywire Hefeweizen,,,,,,"['Pyramid', 'Haywire', 'Hefeweizen']"
Q Spectacular Tonic Water 24/6.7oz Loose Bottles,,,,,,"['Q', 'Spectacular', 'Tonic', 'Water', '24/6.7oz', 'Loose', 'Bottles']"
QTO GINGER ALE CAN 6/4/7.5 OZ,,,,,,"['QTO', 'GINGER', 'ALE', 'CAN', '6/4/7.5', 'OZ']"
QUADRUM WHITE BLEND 21 4/3L,,,,,,"['QUADRUM', 'WHITE', 'BLEND', '21', '4/3L']"
QUEST PROPRIETARY RED BLND +14,,,,,,"['QUEST', 'PROPRIETARY', 'RED', 'BLND', '+14']"
Quilt Cabernet Sauvignon,,,,,,"['Quilt', 'Cabernet', 'Sauvignon']"
Quilt Chardonnay,,,,,,"['Quilt', 'Chardonnay']"
QUILT NAPA CAB +14,,,,,,"['QUILT', 'NAPA', 'CAB', '+14']"
Quintara Chardonnay 21 (Marriott),,,,,,"['Quintara', 'Chardonnay', '21', '(Marriott)']"
R SHEA PUMPKIN ALE - 1/6 BBL,,,,,,"['R', 'SHEA', 'PUMPKIN', 'ALE', '-', '1/6', 'BBL']"
R Shea pumpkin tap handle,,,,,,"['R', 'Shea', 'pumpkin', 'tap', 'handle']"
R STRONG CAB SAUV KNIGHTS VALLEY,,,,,,"['R', 'STRONG', 'CAB', 'SAUV', 'KNIGHTS', 'VALLEY']"
R STRONG CAB SAUV SONOMA,,,,,,"['R', 'STRONG', 'CAB', 'SAUV', 'SONOMA']"
R STRONG CHARD SONOMA OP,,,,,,"['R', 'STRONG', 'CHARD', 'SONOMA', 'OP']"
RABBIT HOLE BOXERGRAIL RYE WHI,,,,,,"['RABBIT', 'HOLE', 'BOXERGRAIL', 'RYE', 'WHI']"
RABBIT HOLE HIEGOLD,,,,,,"['RABBIT', 'HOLE', 'HIEGOLD']"
RABBLE RED BLEND,,,,,,"['RABBLE', 'RED', 'BLEND']"
RABBLE ROSE,,,,,,"['RABBLE', 'ROSE']"
RADIO HAZE CASE - 6X4 - 16OZ - CAN,,,,,,"['RADIO', 'HAZE', 'CASE', '-', '6X4', '-', '16OZ', '-', 'CAN']"
RADIO HAZE KEG - 1/6 BBL,,,,,,"['RADIO', 'HAZE', 'KEG', '-', '1/6', 'BBL']"
RAINIER SPIRIT MTN FRESH GIN,,,,,,"['RAINIER', 'SPIRIT', 'MTN', 'FRESH', 'GIN']"
RALEIGH RUM CO. SWEET DARK RUM,,,,,,"['RALEIGH', 'RUM', 'CO.', 'SWEET', 'DARK', 'RUM']"
Ramazzotti Sambuca,,,,,,"['Ramazzotti', 'Sambuca']"
RAPAURA SPRINGS SAUV BL CLAS(SC)21 750.000 ML,,,,,,"['RAPAURA', 'SPRINGS', 'SAUV', 'BL', 'CLAS(SC)21', '750.000', 'ML']"
RAVEN ANNABEL LEE 1/6 KEG,,,,,,"['RAVEN', 'ANNABEL', 'LEE', '1/6', 'KEG']"
RAYMOND RSV SEL NAPA CAB SV 19,,,,,,"['RAYMOND', 'RSV', 'SEL', 'NAPA', 'CAB', 'SV', '19']"
Re'al Coco Cream Of Coconut 12/22oz,,,,,,"[""Re'al"", 'Coco', 'Cream', 'Of', 'Coconut', '12/22oz']"
Re'al Guava Puree Infused Syrup 6/16.9oz,,,,,,"[""Re'al"", 'Guava', 'Puree', 'Infused', 'Syrup', '6/16.9oz']"
Red Stripe,,,,,,"['Red', 'Stripe']"
REDBREAST 12Y,,,,,,"['REDBREAST', '12Y']"
Redbreast 12yr Pure Pot Still Single Malt Irish Whiskey,,,,,,"['Redbreast', '12yr', 'Pure', 'Pot', 'Still', 'Single', 'Malt', 'Irish', 'Whiskey']"
REDWOOD EMPIRE 'EMERALD GIANT' RYE,,,,,,"['REDWOOD', 'EMPIRE', ""'EMERALD"", ""GIANT'"", 'RYE']"
REDWOOD EMPIRE 'LOST MONARCH' WHISKEY,,,,,,"['REDWOOD', 'EMPIRE', ""'LOST"", ""MONARCH'"", 'WHISKEY']"
REDWOOD EMPIRE 'PIPE DREAM' BOURBON,,,,,,"['REDWOOD', 'EMPIRE', ""'PIPE"", ""DREAM'"", 'BOURBON']"
REDWOOD EMPIRE GRIZZLY BEAST BOURBON,,,,,,"['REDWOOD', 'EMPIRE', 'GRIZZLY', 'BEAST', 'BOURBON']"
REDWOOD EMPIRE ROCKET TOP RYE,,,,,,"['REDWOOD', 'EMPIRE', 'ROCKET', 'TOP', 'RYE']"
Reeds Original Ginger Brew,,,,,,"['Reeds', 'Original', 'Ginger', 'Brew']"
REGATTA GINGER BEER SLEEK CAN 4/6PK 7.5OZ,,,,,,"['REGATTA', 'GINGER', 'BEER', 'SLEEK', 'CAN', '4/6PK', '7.5OZ']"
REGATTA ORIGINAL GNGR BEER 6X4 BTL NL,,,,,,"['REGATTA', 'ORIGINAL', 'GNGR', 'BEER', '6X4', 'BTL', 'NL']"
REISSDORF KOELSCH KEG 1/50L,,,,,,"['REISSDORF', 'KOELSCH', 'KEG', '1/50L']"
REKORDERLIG PEAR CIDER 20LT,,,,,,"['REKORDERLIG', 'PEAR', 'CIDER', '20LT']"
REKORDERLIG STRAWBERRY L 20L,,,,,,"['REKORDERLIG', 'STRAWBERRY', 'L', '20L']"
RELSKA VDK 1L,,,,,,"['RELSKA', 'VDK', '1L']"
Repentless Pilsner,,,,,,"['Repentless', 'Pilsner']"
Reposado,,,,,,['Reposado']
Resident Culture:(1) RC_1/6 bbl_Human Potential,,,,,,"['Resident', 'Culture:(1)', 'RC_1/6', 'bbl_Human', 'Potential']"
Reyka Vodka,,,,,,"['Reyka', 'Vodka']"
Rhinegeist 1/2 bbl Return,,,,,,"['Rhinegeist', '1/2', 'bbl', 'Return']"
Rhinegeist Cheetah,,,,,,"['Rhinegeist', 'Cheetah']"
Rhinegeist Cidergeist Bubbles,,,,,,"['Rhinegeist', 'Cidergeist', 'Bubbles']"
Rhinegeist Cidergeist Dry-Hopped,,,,,,"['Rhinegeist', 'Cidergeist', 'Dry-Hopped']"
Rhinegeist Cidergeist Semi-Dry,,,,,,"['Rhinegeist', 'Cidergeist', 'Semi-Dry']"
Rhinegeist Knowledge,,,,,,"['Rhinegeist', 'Knowledge']"
Rhinegeist Squirt,,,,,,"['Rhinegeist', 'Squirt']"
Rhinegeist Super Truth,,,,,,"['Rhinegeist', 'Super', 'Truth']"
Rhinegeist Truth IPA,,,,,,"['Rhinegeist', 'Truth', 'IPA']"
Rhinegeist Truth IPA 1/2 BBL,,,,,,"['Rhinegeist', 'Truth', 'IPA', '1/2', 'BBL']"
Rhinegeist Truth Ipa 1/6 BBL,,,,,,"['Rhinegeist', 'Truth', 'Ipa', '1/6', 'BBL']"
Rhinegeist Varietal,,,,,,"['Rhinegeist', 'Varietal']"
RHINO AGAVE STRAW 2K 6MM/5.75IN BLK UNWR,,,,,,"['RHINO', 'AGAVE', 'STRAW', '2K', '6MM/5.75IN', 'BLK', 'UNWR']"
RHINO PAPER STRAW 5K 8MM/5.5/HOUST/UNWRP,,,,,,"['RHINO', 'PAPER', 'STRAW', '5K', '8MM/5.5/HOUST/UNWRP']"
Richter Riesling Estate GCWC,,,,,,"['Richter', 'Riesling', 'Estate', 'GCWC']"
RICKSHAW CHARDONNAY 20 750ML,,,,,,"['RICKSHAW', 'CHARDONNAY', '20', '750ML']"
RIEDEL REST CHAMPAGNE 446/48 1EA,,,,,,"['RIEDEL', 'REST', 'CHAMPAGNE', '446/48', '1EA']"
RIEDEL REST COGNAC 446/71 1EA,,,,,,"['RIEDEL', 'REST', 'COGNAC', '446/71', '1EA']"
RIEDEL REST MERLOT DECANT 1446/14 1EA,,,,,,"['RIEDEL', 'REST', 'MERLOT', 'DECANT', '1446/14', '1EA']"
Riedel Restaurant Cabernet Merlot,,,,,,"['Riedel', 'Restaurant', 'Cabernet', 'Merlot']"
Riedel Restaurant Degustazione Red,,,,,,"['Riedel', 'Restaurant', 'Degustazione', 'Red']"
RIEDEL RESTAURANT SPEY TUMBL 418/2 1EA,,,,,,"['RIEDEL', 'RESTAURANT', 'SPEY', 'TUMBL', '418/2', '1EA']"
Righetti Amarone Capitel Roari,,,,,,"['Righetti', 'Amarone', 'Capitel', 'Roari']"
RITTENHOUSE BONDED RYE,,,,,,"['RITTENHOUSE', 'BONDED', 'RYE']"
Rittenhouse Rye Whiskey,,,,,,"['Rittenhouse', 'Rye', 'Whiskey']"
RITUAL ZERO PROOF TEQ ALT(NA) 750ML,,,,,,"['RITUAL', 'ZERO', 'PROOF', 'TEQ', 'ALT(NA)', '750ML']"
RITUAL ZERO PROOF WSKY ALT(NA) 750ML,,,,,,"['RITUAL', 'ZERO', 'PROOF', 'WSKY', 'ALT(NA)', '750ML']"
Rivarey Rose,,,,,,"['Rivarey', 'Rose']"
RIVER RAT ASTRONAUT SAUCE NEIPA 5.17,,,,,,"['RIVER', 'RAT', 'ASTRONAUT', 'SAUCE', 'NEIPA', '5.17']"
RIVER RAT KEY LIME GOSE 7.75,,,,,,"['RIVER', 'RAT', 'KEY', 'LIME', 'GOSE', '7.75']"
RJ BELLRINGER 6-PK CAN,,,,,,"['RJ', 'BELLRINGER', '6-PK', 'CAN']"
RJ FIRST SNOW ALE 1/6 BBL,,,,,,"['RJ', 'FIRST', 'SNOW', 'ALE', '1/6', 'BBL']"
RJ I BLEED ORANGE 1/6 BBL,,,,,,"['RJ', 'I', 'BLEED', 'ORANGE', '1/6', 'BBL']"
RJ PALMETTO TRAIL ALE 1/6 BBL,,,,,,"['RJ', 'PALMETTO', 'TRAIL', 'ALE', '1/6', 'BBL']"
RJ POOL BOY IPA 1/6 BBL,,,,,,"['RJ', 'POOL', 'BOY', 'IPA', '1/6', 'BBL']"
RJ Rockers Son Of A Peach,,,,,,"['RJ', 'Rockers', 'Son', 'Of', 'A', 'Peach']"
RJ Rockers Son Of A Peach 1/6 BBL,,,,,,"['RJ', 'Rockers', 'Son', 'Of', 'A', 'Peach', '1/6', 'BBL']"
Road Hazard Ale 15.5 Gallons,,,,,,"['Road', 'Hazard', 'Ale', '15.5', 'Gallons']"
Robert Foley Griffin 2017 [12x750ml],,,,,,"['Robert', 'Foley', 'Griffin', '2017', '[12x750ml]']"
Robert Hall Artisan Collection Paso Robles Cabernet Sauvignon 12/750ml On-Prem,,,,,,"['Robert', 'Hall', 'Artisan', 'Collection', 'Paso', 'Robles', 'Cabernet', 'Sauvignon', '12/750ml', 'On-Prem']"
Robert Hall Artisan Collection Paso Robles Cabernet Sauvignon 2019 6/750ml On-Pr,,,,,,"['Robert', 'Hall', 'Artisan', 'Collection', 'Paso', 'Robles', 'Cabernet', 'Sauvignon', '2019', '6/750ml', 'On-Pr']"
ROCKWELL VERMOUTH EXTRA DRY 12/750ML,,,,,,"['ROCKWELL', 'VERMOUTH', 'EXTRA', 'DRY', '12/750ML']"
ROCKY MTN LEMON LIME SODA,,,,,,"['ROCKY', 'MTN', 'LEMON', 'LIME', 'SODA']"
RODENBACH 200TH ANN KEG 20LT,,,,,,"['RODENBACH', '200TH', 'ANN', 'KEG', '20LT']"
Roe and Co Blended Irish Whiskey,,,,,,"['Roe', 'and', 'Co', 'Blended', 'Irish', 'Whiskey']"
Romana Black Sambuca Liqueur 12/750ml,,,,,,"['Romana', 'Black', 'Sambuca', 'Liqueur', '12/750ml']"
Romana Sambuca,,,,,,"['Romana', 'Sambuca']"
ROMANA SAMBUCA BLK NEW UPC,,,,,,"['ROMANA', 'SAMBUCA', 'BLK', 'NEW', 'UPC']"
Romana Sambuca Liqueur 12/750ml,,,,,,"['Romana', 'Sambuca', 'Liqueur', '12/750ml']"
ROMANA SAMBUCA NEW UPC,,,,,,"['ROMANA', 'SAMBUCA', 'NEW', 'UPC']"
ROMANA SAMBUCA OLD UPC,,,,,,"['ROMANA', 'SAMBUCA', 'OLD', 'UPC']"
Ron Carlos Rum Light,,,,,,"['Ron', 'Carlos', 'Rum', 'Light']"
Ron Corina Silver Rum,,,,,,"['Ron', 'Corina', 'Silver', 'Rum']"
Ron Zacapa Rum,,,,,,"['Ron', 'Zacapa', 'Rum']"
RON ZACAPA RUM   23YR 6/CS  750ML,,,,,,"['RON', 'ZACAPA', 'RUM', '23YR', '6/CS', '750ML']"
Rose all day Rose,,,,,,"['Rose', 'all', 'day', 'Rose']"
ROSE MILJENKOS SELECTION 2021,,,,,,"['ROSE', 'MILJENKOS', 'SELECTION', '2021']"
Rothman and Winter Creme De Violette Liqueur,,,,,,"['Rothman', 'and', 'Winter', 'Creme', 'De', 'Violette', 'Liqueur']"
ROTHMAN CREME DE VIOLETTE 750,,,,,,"['ROTHMAN', 'CREME', 'DE', 'VIOLETTE', '750']"
ROTHMAN WINTER CREME DE VIOLETTE40 750.000 ML,,,,,,"['ROTHMAN', 'WINTER', 'CREME', 'DE', 'VIOLETTE40', '750.000', 'ML']"
ROUND PLAIN TOOTHPICKS  2000/CT  2000,,,,,,"['ROUND', 'PLAIN', 'TOOTHPICKS', '2000/CT', '2000']"
ROW ELEVEN P NOIR VINAS 3 KEG 20 19.5LT,,,,,,"['ROW', 'ELEVEN', 'P', 'NOIR', 'VINAS', '3', 'KEG', '20', '19.5LT']"
Rowan's Creek Rowan's Creek  100.1 Pf,,,,,,"[""Rowan's"", 'Creek', ""Rowan's"", 'Creek', '100.1', 'Pf']"
ROYAL DOCK DFT 1/6 DARE IPA,,,,,,"['ROYAL', 'DOCK', 'DFT', '1/6', 'DARE', 'IPA']"
ROYAL DOCK MT $30 1/6 KG RT,,,,,,"['ROYAL', 'DOCK', 'MT', '$30', '1/6', 'KG', 'RT']"
RT#732 REF SKELLY,,,,,,"['RT#732', 'REF', 'SKELLY']"
RUSSELL RESERVE BOURBON   10YR  750ML,,,,,,"['RUSSELL', 'RESERVE', 'BOURBON', '10YR', '750ML']"
RUSSELLS RSV BBN 10YR 90 750ML,,,,,,"['RUSSELLS', 'RSV', 'BBN', '10YR', '90', '750ML']"
RY3 WHISKEY,,,,,,"['RY3', 'WHISKEY']"
Rye,,,,,,['Rye']
S ADAMS DFT LAGER 1/6,,,,,,"['S', 'ADAMS', 'DFT', 'LAGER', '1/6']"
S ADAMS DFT OKTOBERFST 1/6,,,,,,"['S', 'ADAMS', 'DFT', 'OKTOBERFST', '1/6']"
S OAK ALEX CAB,,,,,,"['S', 'OAK', 'ALEX', 'CAB']"
SA OCTOBER DFT 5.167 GAL,,,,,,"['SA', 'OCTOBER', 'DFT', '5.167', 'GAL']"
SA OCTOBERFEST 1/6 BBL,,,,,,"['SA', 'OCTOBERFEST', '1/6', 'BBL']"
SA SUMMER ALE 1/2 BBL,,,,,,"['SA', 'SUMMER', 'ALE', '1/2', 'BBL']"
